transaction_id,account_id,branch_id,date_id,transaction_type,payment_mode,amount
900001,5076,1,126,Debit,Cash,3739
900002,5085,3,169,Credit,Salary,8329
900003,5055,6,21,Debit,IMPS,94205
900004,5100,10,204,Debit,ATM,23210
900005,5014,5,55,Debit,Card,58157
900006,5050,1,29,Debit,IMPS,114946
900007,5079,10,106,Debit,UPI,90267
900008,5095,9,179,Debit,Card,5997
900009,5018,5,266,Credit,UPI,96803
900010,5077,3,343,Debit,NEFT,36590
900011,5030,4,292,Debit,NEFT,164656
900012,5078,9,359,Debit,Salary,131441
900013,5038,2,165,Credit,Cash,78770
900014,5046,8,129,Debit,Cash,153780
900015,5063,5,211,Debit,Salary,82197
900016,5078,10,63,Credit,ATM,82018
900017,5037,7,79,Debit,Card,157888
900018,5048,4,334,Credit,NEFT,197596
900019,5040,3,86,Credit,IMPS,31716
900020,5069,9,92,Credit,UPI,2836
900021,5087,4,115,Credit,Cash,132825
900022,5060,5,282,Debit,NEFT,153018
900023,5061,10,28,Debit,ATM,182876
900024,5078,1,316,Debit,Salary,88193
900025,5079,2,312,Debit,Card,118444
900026,5003,8,50,Debit,IMPS,143482
900027,5057,7,42,Debit,Cash,47495
900028,5023,3,242,Debit,IMPS,56274
900029,5100,4,23,Debit,Cash,125365
900030,5054,7,265,Debit,ATM,71783
900031,5003,1,202,Debit,NEFT,15573
900032,5093,6,120,Debit,ATM,58764
900033,5010,4,138,Debit,ATM,179487
900034,5090,6,277,Credit,ATM,125798
900035,5074,1,114,Debit,NEFT,141439
900036,5038,4,323,Credit,UPI,163607
900037,5093,2,126,Debit,UPI,121670
900038,5014,8,349,Credit,ATM,157336
900039,5005,3,80,Debit,Cash,18553
900040,5019,1,19,Debit,Cash,78408
900041,5031,9,87,Debit,NEFT,178464
900042,5032,10,142,Debit,ATM,50241
900043,5001,4,348,Credit,NEFT,79625
900044,5078,8,244,Credit,UPI,66576
900045,5016,2,307,Debit,Salary,22342
900046,5084,6,179,Debit,Card,177889
900047,5048,2,251,Debit,IMPS,75707
900048,5041,10,334,Credit,Salary,47137
900049,5022,5,136,Debit,ATM,66955
900050,5082,5,217,Credit,IMPS,163020
900051,5080,7,128,Debit,UPI,48748
900052,5027,3,95,Credit,ATM,158321
900053,5094,5,309,Debit,ATM,149757
900054,5070,2,289,Debit,Card,146930
900055,5051,6,334,Credit,UPI,179260
900056,5096,8,45,Credit,ATM,31872
900057,5017,9,81,Debit,IMPS,106613
900058,5032,2,193,Credit,NEFT,3037
900059,5017,9,62,Debit,Salary,98233
900060,5035,10,158,Credit,UPI,78635
